doi,journal,volume,issue,editor,submitted,revised,decision,accepted,online,finalversion,issueonline,issuedate
10.1098/rsbl.2011.0887,Biology Letters,8,10,NA,2011-09-15,NA,NA,2011-09-29,2011-10-26,NA,NA,2012-04-23
10.1111/j.1461-0248.2006.00928.x,Ecology Letters,9,07,Jonathan Chase,2006-01-05,NA,2006-02-13,2006-03-08,2006-05-23,NA,2006-05-23,2006-07-01
10.1890/0012-9658(2006)87[1073:e]2.0.co;2,Ecology,87,04,NA,NA,NA,NA,NA,2008-09-11,NA,NA,2006-04-01
10.1890/es12-00119.1,Ecosphere,3,06,C. Kwit,2012-04-23,NA,NA,NA,2012-06-28,NA,NA,2012-06-01
10.1525/cond.2012.110120,The Condor,114,08,NA,2011-07-30,NA,NA,2012-02-08,2012-09-14,NA,NA,2012-08-01
10.7717/peerj.348,PeerJ,2,04,Michael Somers,2014-02-03,NA,NA,2014-03-25,2014-04-15,NA,NA,NA
10.1098/rspb.2007.0368,Proceedings of the Royal Society B: Biological Sciences,274,07,NA,2007-03-15,NA,NA,2007-04-13,2007-07-22,NA,NA,2007-07-22
10.1098/rsbl.2010.1084,Biology Letters,7,01,NA,2010-11-16,NA,NA,2011-01-04,2011-01-26,NA,NA,2011-08-23
10.1111/j.1461-0248.2005.00731.x,Ecology Letters,8,04,Boris Worm,2004-09-22,NA,2004-10-23,2005-01-10,2005-03-07,NA,2005-03-07,2005-04-01
10.1890/06-0423,Ecology,88,03,NA,2006-03-13,2006-06-14,NA,2006-07-28,2008-09-11,NA,NA,2007-03-01
10.1890/es13-00268.1,Ecosphere,5,01,S. Ravi,2013-08-26,2013-11-15,NA,2013-11-19,2014-01-10,NA,NA,2014-01-01
10.1525/cond.2012.120011,The Condor,115,02,NA,2012-01-20,NA,NA,2012-08-03,2013-03-18,NA,NA,2013-02-01
10.7717/peerj.93,PeerJ,1,06,Richard Cowling,2012-12-05,NA,NA,2013-06-04,2013-06-25,NA,NA,NA
10.1098/rspb.2009.2344,Proceedings of the Royal Society B: Biological Sciences,277,03,NA,2009-12-18,NA,NA,2010-02-23,2010-03-17,NA,NA,2010-07-22
10.1098/rsbl.2009.0682,Biology Letters,5,09,NA,2009-08-20,NA,NA,2009-09-01,2009-09-23,NA,NA,2009-12-23
