doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1890/12-1576.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1576.1,(ad hoc): B A Melbourne,2012-09-13,2013-05-14,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-02-22,NA,NA,NA,FALSE
10.1890/12-1983.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1983.1,N J Gotelli,2012-11-11,2013-05-07,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-03,NA,NA,NA,FALSE
10.1890/12-1999.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1999.1,J C Trexler,2012-11-14,2013-05-14,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-05-13,NA,NA,NA,FALSE
10.1890/12-2002.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2002.1,M C Rillig,2012-11-14,2013-05-08,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-02-20,NA,NA,NA,FALSE
10.1890/12-2124.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2124.1,E G Cooch,2012-12-11,2013-04-24,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-19,NA,NA,NA,FALSE
10.1890/12-1548.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1548.1,A M de Roos,2012-09-10,2013-05-07,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-15,NA,NA,NA,FALSE
10.1890/12-2109.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2109.1,H H Wagner,2012-12-04,2013-05-14,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-05-07,NA,NA,NA,FALSE
10.1890/13-0426.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0426.1,B P Kotler,2013-03-05,2013-05-07,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-29,NA,NA,NA,FALSE
10.1890/13-0188.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0188.1,G A Fox,2013-01-29,2013-05-07,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-05-02,NA,NA,NA,FALSE
10.1890/13-0184.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0184.1,A L Shanks,2013-01-30,2013-05-07,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-05-06,NA,NA,NA,FALSE
10.1890/12-1588.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1588.1,S S Heppell,2012-09-17,2013-05-01,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-24,NA,NA,NA,FALSE
10.1890/12-1629.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1629.1,B D Inouye,2012-09-21,2013-04-25,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-16,NA,NA,NA,FALSE
10.1890/13-0262.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0262.1,W E Snyder,2013-02-08,2013-04-11,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-03-21,NA,NA,NA,FALSE
10.1890/12-1701.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1701.1,J J Stachowicz,2012-10-02,2013-04-12,2013-10-16,NA,2013-10-01,NA,NA,NA,NA,NA,NA,2013-03-14,NA,NA,NA,FALSE
10.1890/12-1165.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1165.1,W E Snyder,2012-07-07,2013-04-11,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-05,NA,NA,NA,FALSE
