doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1111/j.1365-2664.2009.01726.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01726.x,NA,NA,NA,2009-10-01,NA,2009-10-01,NA,NA,NA,NA,NA,2009-10-01,NA,NA,NA,NA,FALSE
10.1890/12-1371.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-1371.1,NA,2012-08-07,2012-12-07,2013-06-07,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-05,NA,NA,NA,FALSE
10.1098/rsbl.2012.1181,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2012.1181,NA,2012-12-18,2013-01-23,2013-02-13,NA,2013-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01722.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01722.x,NA,NA,NA,2009-10-01,NA,2009-10-01,NA,NA,NA,NA,NA,2009-10-01,NA,NA,NA,NA,FALSE
10.1890/12-0890.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-0890.1,NA,2012-05-31,2012-12-05,2013-06-07,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-11-20,2013-01-04,NA,NA,FALSE
10.1098/rsbl.2012.1150,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2012.1150,NA,2012-12-13,2013-01-22,2013-02-13,NA,2013-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01727_1.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01727_1.x,NA,NA,NA,2009-10-01,NA,2009-10-01,NA,NA,NA,NA,NA,2009-10-01,NA,NA,NA,NA,FALSE
10.1890/1051-0761-22.5.1413,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/1051-0761-22.5.1413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rsbl.2012.1145,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2012.1145,NA,2012-12-10,2013-01-17,2013-02-13,NA,2013-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01692.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01692.x,Paul Lukacs,2009-05-21,2009-07-01,2009-07-31,NA,2009-10-01,NA,NA,NA,NA,NA,2009-10-01,NA,NA,NA,NA,FALSE
